Date and Time,Time (s),Temperature (C),Position (m),Velocity (m/s),Acceleration (m/s²)
05/18/2020 11:47:45 AM,3350,68.9,0.199,-8.03E-05,-4.13E-05
05/18/2020 11:47:55 AM,3360,68.9,0.154,-7.05E-04,-1.72E-05
05/18/2020 11:48:05 AM,3370,68.9,0.151,-6.16E-04,1.44E-05
05/18/2020 11:48:15 AM,3380,68.9,0.157,1.00E-04,1.84E-05
05/18/2020 11:48:25 AM,3390,69,0.159,-2.01E-05,2.96E-06
05/18/2020 11:48:35 AM,3400,69,0.152,-1.98E-04,-3.63E-06
05/18/2020 11:48:45 AM,3410,69,0.155,-1.40E-04,5.64E-06
05/18/2020 11:48:55 AM,3420,69.1,0.149,2.87E-06,9.89E-06
05/18/2020 11:49:05 AM,3430,69.1,0.154,1.18E-04,4.63E-06
05/18/2020 11:49:15 AM,3440,69.1,0.154,1.38E-04,-2.58E-06
05/18/2020 11:49:25 AM,3450,69.1,0.158,2.87E-06,-4.49E-06
05/18/2020 11:49:35 AM,3460,69.1,0.153,-3.73E-05,-7.17E-07
05/18/2020 11:49:45 AM,3470,69.2,0.154,2.29E-05,1.67E-06
05/18/2020 11:49:55 AM,3480,69.1,0.155,7.45E-05,-1.48E-06
05/18/2020 11:50:05 AM,3490,69.2,0.157,-8.60E-06,-4.78E-06
05/18/2020 11:50:15 AM,3500,69.2,0.154,-9.46E-05,-3.06E-06
05/18/2020 11:50:25 AM,3510,69.1,0.154,-9.46E-05,3.34E-06
05/18/2020 11:50:35 AM,3520,69.1,0.153,-2.29E-05,7.98E-06
05/18/2020 11:50:45 AM,3530,69.1,0.154,1.20E-04,6.98E-06
05/18/2020 11:50:55 AM,3540,69.1,0.153,1.69E-04,1.00E-06
05/18/2020 11:51:05 AM,3550,69.1,0.16,1.32E-04,-6.78E-06
05/18/2020 11:51:15 AM,3560,69.1,0.156,2.58E-05,-9.70E-06
05/18/2020 11:51:25 AM,3570,69,0.159,-1.43E-04,-6.55E-06
05/18/2020 11:51:35 AM,3580,69,0.156,-1.38E-04,1.72E-06
05/18/2020 11:51:45 AM,3590,69,0.151,-9.75E-05,7.45E-06
05/18/2020 11:51:55 AM,3600,69,0.155,8.31E-05,5.64E-06
05/18/2020 11:52:05 AM,3610,69,0.154,8.31E-05,6.21E-07
05/18/2020 11:52:15 AM,3620,69.1,0.159,2.01E-05,-3.58E-06
05/18/2020 11:52:25 AM,3630,69.1,0.153,2.87E-06,-3.73E-06
05/18/2020 11:52:35 AM,3640,69.1,0.158,-5.16E-05,-2.53E-06
05/18/2020 11:52:45 AM,3650,69.1,0.155,-6.88E-05,-2.34E-20
05/18/2020 11:52:55 AM,3660,69.1,0.153,-6.02E-05,3.87E-06
05/18/2020 11:53:05 AM,3670,69.1,0.153,1.15E-05,4.92E-06
05/18/2020 11:53:15 AM,3680,69.1,0.156,1.00E-04,3.01E-06
05/18/2020 11:53:25 AM,3690,69.2,0.153,6.59E-05,-3.82E-07
05/18/2020 11:53:35 AM,3700,69.2,0.159,6.59E-05,-2.87E-06
05/18/2020 11:53:45 AM,3710,69.1,0.154,2.29E-05,-3.49E-06
05/18/2020 11:53:55 AM,3720,69.2,0.159,-2.87E-05,-3.34E-06
05/18/2020 11:54:05 AM,3730,69.2,0.155,-4.87E-05,-4.30E-07
05/18/2020 11:54:15 AM,3740,69.1,0.157,-6.31E-05,2.72E-06
05/18/2020 11:54:25 AM,3750,69.1,0.153,3.15E-05,3.15E-06
05/18/2020 11:54:35 AM,3760,69.1,0.157,5.45E-05,3.82E-07
05/18/2020 11:54:45 AM,3770,69,0.157,2.29E-05,-2.87E-06
05/18/2020 11:54:55 AM,3780,69,0.157,-3.15E-05,-1.48E-06
05/18/2020 11:55:05 AM,3790,69,0.155,-5.45E-05,2.39E-06
05/18/2020 11:55:15 AM,3800,69,0.157,4.30E-05,3.01E-06
05/18/2020 11:55:25 AM,3810,69.1,0.153,9.17E-05,-1.10E-06
05/18/2020 11:55:35 AM,3820,69,0.161,2.87E-06,-4.25E-06
05/18/2020 11:55:45 AM,3830,69,0.156,-8.03E-05,-9.56E-07
05/18/2020 11:55:55 AM,3840,69,0.154,-4.01E-05,3.06E-06
05/18/2020 11:56:05 AM,3850,69.1,0.155,7.74E-05,3.34E-07
05/18/2020 11:56:15 AM,3860,69.1,0.159,2.87E-05,-3.54E-06
05/18/2020 11:56:25 AM,3870,69.1,0.156,-1.29E-04,2.39E-07
05/18/2020 11:56:35 AM,3880,69.2,0.155,-4.59E-05,8.27E-06
05/18/2020 11:56:45 AM,3890,69.2,0.152,1.66E-04,7.60E-06
05/18/2020 11:56:55 AM,3900,69.1,0.161,2.29E-04,-2.72E-06
05/18/2020 11:57:05 AM,3910,69.2,0.16,5.16E-05,-9.84E-06
05/18/2020 11:57:15 AM,3920,69.1,0.16,-9.46E-05,-8.46E-06
05/18/2020 11:57:25 AM,3930,69.1,0.155,-1.00E-04,-3.15E-06
05/18/2020 11:57:35 AM,3940,69.2,0.16,-1.26E-04,2.10E-06
05/18/2020 11:57:45 AM,3950,69.1,0.154,-1.06E-04,7.17E-06
05/18/2020 11:57:55 AM,3960,69,0.154,3.73E-05,8.55E-06
05/18/2020 11:58:05 AM,3970,69.1,0.155,1.66E-04,3.25E-06
05/18/2020 11:58:15 AM,3980,69.1,0.162,1.15E-04,-3.06E-06
05/18/2020 11:58:25 AM,3990,69,0.156,1.15E-05,-4.30E-06
05/18/2020 11:58:35 AM,4000,69,0.159,8.60E-06,-3.63E-06
05/18/2020 11:58:45 AM,4010,69,0.158,1.43E-05,-4.11E-06
05/18/2020 11:58:55 AM,4020,69,0.16,-1.06E-04,-2.77E-06
05/18/2020 11:59:05 AM,4030,69,0.156,-1.20E-04,2.15E-06
05/18/2020 11:59:15 AM,4040,69,0.155,-2.29E-05,5.45E-06
05/18/2020 11:59:25 AM,4050,69,0.156,6.02E-05,2.29E-06
05/18/2020 11:59:35 AM,4060,69,0.159,4.01E-05,-2.48E-06
05/18/2020 11:59:45 AM,4070,69.1,0.156,-4.59E-05,-3.54E-06
05/18/2020 11:59:55 AM,4080,69.1,0.158,-6.59E-05,-1.91E-06
05/18/2020 12:00:05 PM,4090,69,0.155,-4.59E-05,3.34E-07
05/18/2020 12:00:15 PM,4100,69,0.156,-7.45E-05,1.39E-06
05/18/2020 12:00:25 PM,4110,69.1,0.155,-1.72E-05,1.53E-06
05/18/2020 12:00:35 PM,4120,69.2,0.153,-1.15E-05,2.20E-06
05/18/2020 12:00:45 PM,4130,69.2,0.157,-1.72E-05,2.72E-06
05/18/2020 12:00:55 PM,4140,69.2,0.154,5.73E-05,2.77E-06
05/18/2020 12:01:05 PM,4150,69.2,0.153,7.74E-05,-1.91E-07
05/18/2020 12:01:15 PM,4160,69.2,0.16,6.02E-05,-3.63E-06
05/18/2020 12:01:25 PM,4170,69.2,0.155,-3.15E-05,-3.20E-06
05/18/2020 12:01:35 PM,4180,69.1,0.156,-5.16E-05,-2.87E-07
05/18/2020 12:01:45 PM,4190,69,0.156,-2.87E-06,1.77E-06
05/18/2020 12:01:55 PM,4200,69.1,0.156,1.43E-05,8.12E-07
05/18/2020 12:02:05 PM,4210,69.2,0.154,8.60E-06,-1.53E-06
05/18/2020 12:02:15 PM,4220,69.1,0.158,-1.43E-05,-1.82E-06
05/18/2020 12:02:25 PM,4230,69,0.154,-6.59E-05,-1.91E-07
05/18/2020 12:02:35 PM,4240,69,0.155,-2.01E-05,6.21E-07
05/18/2020 12:02:45 PM,4250,69.1,0.153,2.87E-06,4.78E-08
05/18/2020 12:02:55 PM,4260,69.1,0.158,-4.59E-05,-9.56E-07
05/18/2020 12:03:05 PM,4270,69.1,0.152,-3.73E-05,-2.39E-07
05/18/2020 12:03:15 PM,4280,69.3,0.154,-3.73E-05,3.82E-07
05/18/2020 12:03:25 PM,4290,69.4,0.155,-2.01E-05,8.60E-07
05/18/2020 12:03:35 PM,4300,69.3,0.152,-4.01E-05,2.10E-06
05/18/2020 12:03:45 PM,4310,69.4,0.152,1.72E-05,2.96E-06
05/18/2020 12:03:55 PM,4320,69.4,0.154,5.16E-05,1.72E-06
05/18/2020 12:04:05 PM,4330,69.3,0.154,6.59E-05,-1.00E-06
05/18/2020 12:04:15 PM,4340,69.5,0.153,1.43E-05,-4.06E-06
05/18/2020 12:04:25 PM,4350,69.4,0.157,-5.73E-06,
05/18/2020 12:04:35 PM,4360,69.4,0.152,-1.20E-04,
05/18/2020 12:04:45 PM,4370,69.5,0.155,,
