Time (s),Temperature (C),Position (m)
4360,69.1,0.158
4370,69,0.154
4380,69,0.155
4390,69.1,0.153
4400,69.1,0.158
4410,69.1,0.152
4420,69.3,0.154
4430,69.4,0.155
4440,69.3,0.152
4450,69.4,0.152
4460,69.4,0.154
4470,69.3,0.154
4480,69.5,0.153
4490,69.4,0.157
4500,69.4,0.152
4510,69.5,0.155
4520,67.8,0.149
4530,67.8,0.156
4540,67.7,0.152
4550,67.4,0.152
4560,67.5,0.149
4570,67.6,0.154
4580,67.7,0.152
4590,67.8,0.148
4600,68.1,0.155
4610,68,0.152
4620,68.2,0.148
4630,68.4,0.151
4640,68.5,0.149
4650,68.6,0.151
4660,68.7,0.155
4670,69,0.151
4680,69.1,0.155
4690,69.2,0.147
4700,69.2,0.148
4710,69.3,0.152
4720,69.4,0.149
4730,69.5,0.151
4740,69.5,0.151
4750,69.6,0.151
4760,69.8,0.156
4770,69.8,0.152
4780,69.7,0.156
4790,69.8,0.153
4800,69.9,0.149
4810,70.1,0.15
4820,70.1,0.155
4830,70.1,0.156
4840,70.2,0.157
4850,70.3,0.149
4860,70.4,0.151
4870,70.5,0.157
4880,70.5,0.152
4890,70.7,0.153
4900,70.7,0.154
4910,70.7,0.15
4920,70.9,0.151
4930,70.9,0.152
4940,70.9,0.153
4950,71,0.153
4960,71.2,0.153
4970,71.1,0.151
4980,71.1,0.15
4990,71.3,0.15
5000,71.3,0.153
5010,71.2,0.152
5020,71.4,0.151
5030,71.4,0.156
5040,71.4,0.152
5050,71.6,0.152
5060,71.5,0.151
5070,71.7,0.153
5080,71.8,0.151
5090,71.8,0.152
5100,71.8,0.152
5110,71.9,0.157
5120,72,0.154
5130,72,0.152
5140,72.1,0.152
5150,72,0.158
5160,72.1,0.151
5170,72.1,0.159
5180,72.2,0.158
5190,72.2,0.155
5200,72.3,0.152
5210,72.4,0.154
5220,72.3,0.151
5230,72.5,0.152
5240,72.5,0.157
5250,72.5,0.151
5260,72.6,0.151
5270,72.8,0.157
5280,72.8,0.153
5290,72.8,0.151
5300,72.9,0.159
5310,72.9,0.153
5320,72.9,0.154
5330,73,0.15
5340,73,0.148
5350,73,0.151
5360,73,0.154
5370,73,0.153
5380,73,0.149
5390,73.2,0.15
5400,73.1,0.156
5410,73.3,0.151
5420,73.4,0.157
5430,73.4,0.147
5440,73.5,0.151
5450,73.6,0.156
5460,73.7,0.152
5470,73.6,0.155
5480,73.7,0.156
5490,73.8,0.151
5500,73.8,0.153
5510,73.8,0.15
5520,73.9,0.157
5530,73.9,0.149
5540,73.9,0.152
5550,74,0.152
5560,74,0.157
5570,74.1,0.147
5580,74.1,0.148
5590,74.2,0.15
5600,74.1,0.155
5610,74.4,0.151
5620,74.4,0.149
5630,74.4,0.151
5640,74.6,0.151
5650,74.6,0.152
5660,74.6,0.15
5670,74.9,0.152
5680,74.9,0.148
5690,74.8,0.154
5700,74.9,0.15
5710,74.9,0.15
5720,74.9,0.155
5730,74.9,0.154
5740,74.9,0.149
5750,74.9,0.152
5760,75,0.151
5770,75,0.157
5780,75,0.154
5790,75,0.152
5800,75.1,0.153
5810,75.2,0.156
5820,75.4,0.15
5830,75.3,0.152
5840,75.3,0.152
5850,75.4,0.154
5860,75.6,0.152
5870,75.5,0.151
5880,75.6,0.152
5890,75.5,0.153
5900,75.6,0.15
5910,75.6,0.15
5920,75.6,0.153
5930,75.6,0.153
5940,75.6,0.158
5950,75.6,0.149
5960,75.7,0.157
5970,75.6,0.153
5980,75.6,0.153
5990,75.7,0.148
6000,75.7,0.154
6010,75.8,0.154
6020,75.8,0.159
6030,76,0.153
6040,75.9,0.153
6050,76,0.157
6060,76,0.154
6070,76,0.153
6080,75.9,0.158
6090,76.1,0.153
6100,76.1,0.154
6110,75.9,0.152
6120,75.9,0.158
6130,76.1,0.155
6140,75.9,0.153
6150,76,0.158
6160,75.8,0.155
6170,76,0.153
6180,76,0.151
6190,76,0.154
6200,76.1,0.153
6210,76,0.155
6220,76.1,0.154
6230,76.2,0.152
6240,76.2,0.156
6250,76.2,0.152
6260,76.2,0.152
6270,76.2,0.153
6280,76.2,0.155
6290,76.2,0.155
6300,76.3,0.154
6310,76.1,0.159
6320,76.2,0.158
6330,76.1,0.152
6340,76.2,0.156
6350,76.2,0.154
6360,76.1,0.152
6370,76.2,0.156
6380,76.2,0.155
6390,76.2,0.159
6400,76.2,0.154
6410,76.3,0.156
6420,76.4,0.153
6430,76.4,0.154
6440,76.5,0.161
6450,76.4,0.156
6460,76.4,0.16
6470,76.4,0.155
6480,76.3,0.154
6490,76.3,0.154
6500,76.3,0.152
6510,76.4,0.151
6520,76.3,0.153
6530,76.4,0.152
6540,76.4,0.154
6550,76.4,0.153
6560,76.5,0.154
6570,76.4,0.154
6580,76.6,0.153
6590,76.6,0.152
6600,76.6,0.153
6610,76.6,0.151
6620,76.6,0.155
6630,76.6,0.157
6640,76.6,0.158
6650,76.6,0.154
6660,76.7,0.152
6670,76.7,0.15
6680,76.6,0.153
6690,76.6,0.158
6700,76.6,0.158
6710,76.6,0.159
6720,76.6,0.155
6730,76.6,0.151
6740,76.7,0.151
6750,76.7,0.158
6760,76.8,0.158
6770,76.8,0.148
6780,76.9,0.158
6790,76.9,0.154
6800,76.9,0.153
6810,77,0.152
6820,76.9,0.156
6830,77,0.16
6840,77,0.158
6850,77.2,0.151
6860,77.1,0.153
6870,77,0.156
6880,77,0.152
6890,76.9,0.157
6900,77,0.154
6910,77,0.159
6920,77.1,0.152
6930,77.1,0.155
6940,77.2,0.159
6950,77.2,0.154
6960,77.2,0.158
6970,77.2,0.158
6980,77.1,0.158
6990,77.3,0.154
7000,77.3,0.159
7010,77.3,0.151
7020,77.3,0.158
7030,77.3,0.152
7040,77.3,0.147
7050,77.3,0.16
7060,77.3,0.154
7070,77.3,0.155
7080,77.3,0.153
7090,77.3,0.154
7100,77.3,0.153
7110,77.3,0.155
7120,77.3,0.156
7130,77.3,0.157
7140,77.4,0.158
7150,77.4,0.161
7160,77.5,0.152
7170,77.6,0.161
7180,77.5,0.159
7190,77.5,0.154
7200,77.6,0.155
7210,77.6,0.154
7220,77.6,0.161
7230,77.5,0.16
7240,77.6,0.16
7250,77.5,0.156
7260,77.5,0.157
7270,77.5,0.169
7280,77.4,0.161
7290,77.4,0.158
7300,77.5,0.159
7310,77.4,0.156
7320,77.4,0.155
7330,77.4,0.154
7340,77.4,0.156
7350,77.6,0.156
7360,77.6,0.157
7370,77.6,0.157
7380,77.4,0.157
7390,77.6,0.157
7400,77.6,0.162
7410,77.5,0.155
7420,77.3,0.158
7430,77.5,0.157
7440,77.5,0.157
7450,77.4,0.157
7460,77.4,0.161
7470,77.4,0.157
7480,77.4,0.162
7490,77.3,0.157
7500,77.3,0.157
7510,77.3,0.157
7520,77.4,0.157
7530,77.4,0.155
7540,77.5,0.155
7550,77.5,0.157
7560,77.5,0.159
7570,77.5,0.155
7580,77.5,0.159
7590,77.5,0.16
7600,77.5,0.159
7610,77.4,0.158
7620,77.4,0.158
7630,77.4,0.162
7640,77.3,0.158
7650,77.3,0.158
7660,77.3,0.16
7670,77.3,0.159
7680,77.3,0.157
7690,77.4,0.155
